1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
sucrose biosynthesis II	2.7.1.1 2.7.1.2 2.7.7.64 2.7.7.9 3.1.3.24 2.4.1.14 5.4.2.2 5.3.1.9 2.4.1.1 2.4.1.25
alkylnitronates degradation	1.13.12.16 1.7.1.4
<I>myo</I>-inositol degradation II	5.1.2.7 5.3.3.- 1.1.1.18 1.1.1.-
D-fructuronate degradation	4.2.1.8 4.1.2.55 4.1.2.14 2.7.1.178 2.7.1.45 1.1.1.57
superpathway NAD/NADP - NADH/NADPH interconversion (yeast)	2.7.1.23 1.2.1.4 1.6.5.9 2.7.1.86 1.2.1.3 1.1.1.49 1.1.1.42 1.2.1.4
pectin degradation I	3.2.1.82 4.2.2.- 3.1.1.11
&beta;-D-glucuronide and D-glucuronate degradation	3.2.1.31 5.3.1.12
pectin degradation II	3.1.1.11 5.1.2.7 5.3.1.12 3.2.1.67
superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	5.1.1.7 2.7.2.4 4.3.3.7 2.1.1.14 1.17.1.8 2.6.1.83 4.1.1.20 2.5.1.48 2.7.1.39 4.2.3.1 3.5.99.10 1.2.1.11 1.1.1.3
[2Fe-2S] iron-sulfur cluster biosynthesis	2.8.1.7 3.6.4.- 2.8.1.- 2.8.1.7 2.8.1.-
pentacyclic triterpene biosynthesis	5.4.99.55 5.4.99.50 5.4.99.49 5.4.99.39 5.4.99.35 5.4.99.34 5.4.99.- 5.4.99.40 5.4.99.41 5.4.99.36
luteolinidin 5-<i>O</i>-glucoside biosynthesis	2.4.1.- 1.14.20.- 1.1.1.234
apigeninidin 5-<i>O</i>-glucoside biosynthesis	1.14.20.- 2.4.1.- 1.1.1.234
TCA cycle VII (acetate-producers)	2.8.3.18 1.2.1.M9 1.1.1.42 2.3.3.16 2.3.3.1 1.1.5.4 4.2.1.2 1.3.5.1
ergothioneine biosynthesis I (bacteria)	6.3.2.2 3.5.1.118 1.14.99.50 2.1.1.44
cyanidin diglucoside biosynthesis (acyl-glucose dependent)	2.4.1.299 2.4.1.300 2.4.1.300 3.2.1.- 2.4.1.299 3.2.1.- 2.4.1.299 2.4.1.300
pelargonidin diglucoside biosynthesis (acyl-glucose dependent)	2.4.1.299 2.4.1.300 2.4.1.300
delphinidin diglucoside biosynthesis (acyl-glucose dependent)	2.4.1.300 2.4.1.300 2.4.1.299
anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)	2.3.1.- 2.3.1.- 2.3.1.-
rose anthocyanin biosynthesis II (via cyanidin 3-<i>O</i>-&beta;-<i>D</i>-glucoside)	2.4.1.298 2.4.1.115
lampranthin biosynthesis	2.3.1.- 2.3.1.-
anthocyanin biosynthesis (pelargonidin 3-<i>O</i>-glucoside)	1.14.20.4 2.4.1.115
NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	1.1.1.49 2.7.1.23 1.2.1.4 1.1.1.42 2.7.1.86
NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	1.6.5.9 2.7.1.86 1.2.1.3 1.2.1.4 2.7.1.23
L-methionine salvage cycle II (plants)	2.5.1.6 3.5.1.111 2.6.1.ag 1.13.11.54 3.1.3.87 5.3.2.5 4.2.1.109 5.3.1.23 2.7.1.100 3.2.2.16 4.4.1.14
D-cycloserine biosynthesis	5.1.1.19 6.3.3.5 2.3.1.30 2.6.99.3 3.5.3.25 1.14.11.-
L-homophenylalanine biosynthesis	2.6.1.58 4.2.1.- 2.3.3.- 2.6.1.58
sphingolipid biosynthesis (mammals)	2.3.1.50 3.1.4.12 3.5.1.109 2.7.8.27 1.14.19.17 2.3.1.- 1.1.1.102
aerobic respiration II (cytochrome c) (yeast)	1.9.3.1 7.1.1.8 1.6.5.9 1.3.5.1
ternatin C3 biosynthesis	2.3.1.-
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	2.4.2.14 2.7.4.7 2.7.1.35 1.1.1.65 1.4.3.5 2.7.1.35 4.2.1.-
wybutosine biosynthesis	2.5.1.114 2.3.1.231 2.1.1.290 2.1.1.282 4.1.3.44 2.1.1.228
methylwyosine biosynthesis	4.1.3.44 2.1.1.- 2.1.1.- 2.1.1.228
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	4.1.3.44 2.1.1.282 2.5.1.114 2.1.1.228
novobiocin biosynthesis	1.14.13.- 2.1.3.12 2.1.1.285 2.4.1.302 2.1.1.284 6.3.1.15 1.3.1.12 2.5.1.111 1.13.11.83 1.13.12.23 5.1.3.13 2.1.1.- 1.1.1.- 2.7.7.24 4.2.1.46 1.14.13.- 1.1.1.-
fatty acid &beta;-oxidation (peroxisome, yeast)	6.2.1.- 2.3.1.16 1.1.1.M19 4.2.1.119 1.3.3.6
L-cysteine biosynthesis V (mycobacteria)	3.13.1.6 2.5.1.113
<i>Escherichia coli</i> serotype O86 <i>O</i>-antigen biosynthesis	2.4.1.308 2.4.1.309 2.4.1.122 2.4.1.306 5.1.3.26 2.7.8.33
oleate &beta;-oxidation (isomerase-dependent, yeast)	5.3.3.8 1.3.3.6
oleate &beta;-oxidation (thioesterase-dependent, yeast)	3.1.2.- 5.3.3.8
D-xylose degradation IV	1.2.99.- 2.3.3.9 1.1.1.26 1.1.1.359 4.1.2.28 4.2.1.82 3.1.1.ab
L-arabinose degradation IV	4.2.1.25 2.3.3.9 1.1.1.26 1.2.99.- 4.1.2.18 3.1.1.15 1.1.1.376
octopamine biosynthesis	4.1.1.25 1.14.17.-
nevadensin biosynthesis	1.14.11.- 2.1.1.- 1.14.11.- 2.1.1.-
progesterone biosynthesis	1.1.1.145 5.3.3.1
ecdysone and 20-hydroxyecdysone biosynthesis	1.14.99.22 1.1.1.- 1.14.15.- 1.14.15.M6 1.14.14.- 1.14.15.- 1.14.15.- 1.14.14.- 1.1.99.- 1.3.1.- 1.14.19.21
dTDP-4-<i>O</i>-demethyl-&beta;-L-noviose biosynthesis	2.7.7.24 1.1.1.- 2.1.1.- 5.1.3.13 4.2.1.46
3-dimethylallyl-4-hydroxybenzoate biosynthesis	1.3.1.12 1.13.12.23 1.13.11.83 2.5.1.111
3-amino-4,7-dihydroxy-coumarin biosynthesis	1.14.13.- 1.1.1.- 1.14.13.-
superpathway of steroid hormone biosynthesis	1.1.1.145 1.14.15.4 1.14.15.- 1.14.14.19 1.14.15.5 1.14.15.5 1.14.15.4 1.14.15.- 5.3.3.1 1.1.1.62 1.3.1.22 1.1.1.64 5.3.3.1 1.1.1.145 1.14.14.32 1.14.14.19
estradiol biosynthesis II	
oleate &beta;-oxidation (reductase-dependent, yeast)	5.3.3.21 5.3.3.8 1.3.1.34
acrylonitrile degradation I	4.2.1.84 3.5.1.4
acrylonitrile degradation II	3.5.5.7
D-glucosaminate degradation	4.1.2.55 4.1.2.14 2.7.1.203 4.3.1.29
dTDP-D-&beta;-fucofuranose biosynthesis	4.2.1.46 5.4.99.59 1.1.1.266 2.7.7.24
dTDP-<i>N</i>-acetylthomosamine biosynthesis	4.2.1.46 2.3.1.210 2.6.1.59 2.7.7.24
dTDP-<i>N</i>-acetylviosamine biosynthesis	4.2.1.46 2.3.1.209 2.6.1.33 2.7.7.24
superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	2.7.7.24 2.3.1.- 2.6.1.89 5.3.2.4 5.4.99.59 1.1.1.266 1.1.1.266 2.3.1.197 2.6.1.90 5.3.2.3 2.3.1.210 2.6.1.59 2.3.1.209 2.6.1.33 1.1.1.339 1.1.1.133 5.1.3.13 4.2.1.46
dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis	2.7.7.24 2.3.1.- 2.6.1.89 5.3.2.4 4.2.1.46
ecdysteroid metabolism (arthropods)	1.14.14.- 2.7.1.- 3.1.3.- 1.1.3.16 1.1.1.-
superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	5.3.1.9 1.1.1.187 1.1.1.135 1.1.1.281 1.1.1.187 2.6.1.102 1.1.1.356 4.2.1.47 2.7.7.13 5.4.2.8 5.3.1.8
salvigenin biosynthesis	1.14.19.bi 2.1.1.- 2.1.1.- 2.1.1.- 2.1.1.- 1.14.14.- 1.14.14.- 2.1.1.- 2.1.1.-
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	1.1.1.22 5.1.3.2 5.1.3.6 5.4.99.9 2.7.7.64 2.7.7.9 5.4.2.2
UDP-<i>N</i>-acetyl-&beta;-L-fucosamine biosynthesis	4.2.1.115 5.1.3.28
UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine biosynthesis	4.2.1.115 5.1.3.- 1.1.1.-
superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	5.1.3.14 1.1.1.336 1.1.1.136 5.3.1.9 3.5.3.- 5.1.3.23 2.3.1.201 2.6.1.98 1.1.1.335 5.1.3.- 1.1.1.- 1.1.1.- 4.2.1.135 5.1.3.- 1.1.1.- 3.5.3.- 5.1.3.28 4.2.1.115 2.7.7.23 2.3.1.157 5.4.2.10 2.6.1.16
UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine biosynthesis	4.2.1.135 1.1.1.-
UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine biosynthesis	1.1.1.- 4.2.1.135
UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis	1.1.1.336 5.1.3.14
UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis	1.1.1.136 5.1.3.-
10-<i>cis</i>-heptadecenoyl-CoA degradation (yeast)	1.3.1.34 4.2.1.119 5.3.3.8 1.3.3.6 2.3.1.16 1.1.1.M19 4.2.1.119 1.3.3.6
10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	4.2.1.119 5.3.3.8 1.3.1.34 1.3.3.6 2.3.1.16 1.1.1.M19 4.2.1.119 1.3.3.6
10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)	4.2.1.119 4.2.1.119 2.3.1.16 1.1.1.M19
9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)	1.3.3.6 4.2.1.119 1.1.1.M19 2.3.1.16 5.3.3.8 4.2.1.119 1.1.1.M19 2.3.1.16 5.3.3.8
superpathway of hyoscyamine and scopolamine biosynthesis	1.14.20.13 2.1.1.53 1.14.11.11 2.3.1.185 1.1.1.206 1.4.3.22
superpathway of nicotine biosynthesis	1.4.3.16 1.14.14.- 1.1.1.- 3.2.2.- 2.4.2.19 2.5.1.72 2.1.1.53 1.4.3.22
UDP-&alpha;-D-glucose biosynthesis I	2.7.7.64 2.7.7.9 5.4.2.2
UDP-&alpha;-D-galactose biosynthesis	5.1.3.2
superpathway of anaerobic sucrose degradation	2.7.1.11 3.1.3.11 1.1.1.27 2.7.9.2 1.1.1.1 4.1.1.1 2.7.1.40 4.2.1.11 5.4.2.11 5.4.2.12 2.7.2.3 1.2.1.12 5.3.1.1 4.1.2.13 2.4.1.13 5.3.1.9 5.4.2.2 2.7.7.64 2.7.7.9 2.7.1.4
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	1.1.1.22
sucrose biosynthesis III	5.3.1.9 3.1.3.24 2.4.1.14
pyruvate fermentation to opines	1.5.1.17 1.5.1.22 1.5.1.23 1.5.1.26 1.5.1.11
daunorubicin biosynthesis	2.3.1.- 2.1.1.292 1.14.13.181 1.14.13.181 2.1.1.292 1.14.13.181 1.14.13.181 2.1.1.292 4.1.1.- 3.1.1.- 2.4.1.- 1.14.13.180 1.1.1.362 5.5.1.23 2.1.1.288 1.13.12.- 4.2.1.- 4.2.1.- 1.1.1.-
aclacinomycin biosynthesis	2.3.1.- 1.3.3.14 1.1.3.45 2.4.1.327 2.4.1.327 2.4.1.326 1.1.1.362 5.5.1.23 2.1.1.288 1.13.12.- 4.2.1.- 4.2.1.- 1.1.1.-
doxorubicin biosynthesis	1.14.13.181
thiamine salvage IV (yeast)	2.5.1.3 2.7.6.2 3.1.3.100 2.7.4.7 2.7.1.50 2.7.1.49 3.5.99.2
thiamine formation from pyrithiamine and oxythiamine (yeast)	2.5.1.3 2.7.4.7 3.5.99.- 3.5.99.- 2.7.1.49 2.7.1.50
jasmonic acid biosynthesis	6.2.1.- 3.1.2.20 2.3.1.16 1.1.1.35 4.2.1.17 1.3.3.6 2.3.1.16 1.1.1.35 4.2.1.17 1.3.3.6 2.3.1.16 1.1.1.35 4.2.1.17 1.3.3.6 1.3.1.42 5.3.99.6 4.2.1.92 1.13.11.12
papaverine biosynthesis	2.1.1.291 2.1.1.- 2.1.1.- 2.1.1.- 2.1.1.121
phosphatidylglycerol degradation	3.1.4.-
phosphatidylcholine resynthesis via glycerophosphocholine	2.7.8.2 3.1.4.2 3.1.1.-
thiamine triphosphate metabolism	3.6.1.28 2.7.4.15
1,4-dihydroxy-6-naphthoate biosynthesis II	3.2.2.30 1.21.98.1 4.2.1.151 2.5.1.120
demethylmenaquinol-6 biosynthesis II	2.5.1.-
superpathway of demethylmenaquinol-6 biosynthesis II	2.5.1.83 2.5.1.- 1.21.98.1 3.2.2.30 2.5.1.120 4.2.1.151
1,4-dihydroxy-6-naphthoate biosynthesis I	4.2.1.151 1.21.98.1 3.2.2.26 3.5.4.40 2.5.1.120
mRNA capping I	2.7.7.50 2.1.1.56 3.1.3.33
cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	6.6.1.2 6.3.5.9 5.4.99.61 1.3.1.54 2.1.1.152 2.1.1.133 2.1.1.131 1.14.13.83 2.1.1.130
cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	1.3.1.76 6.3.5.11 5.4.99.60 2.1.1.289 2.1.1.196 1.3.1.106 2.1.1.195 3.7.1.12 2.1.1.271 2.1.1.151 4.99.1.3
aminopropanol phosphate biosynthesis II	1.1.1.103 1.1.1.75
mRNA capping II	2.1.1.57 2.1.1.296 3.1.3.33 2.1.1.56 2.7.7.50
biotin biosynthesis from 8-amino-7-oxononanoate II	2.8.1.6 2.6.1.105 6.3.3.3
lipoate biosynthesis and incorporation (yeast)	2.8.1.8 2.3.1.181 2.8.1.8 2.8.3.- 2.3.1.- 2.8.1.8 2.3.1.-
anaerobic energy metabolism (invertebrates, cytosol)	5.1.1.1 2.6.1.1 2.7.1.40 1.1.1.37 2.6.1.2 4.1.1.32 4.1.1.32
anaerobic energy metabolism (invertebrates, mitochondrial)	4.2.1.2 6.4.1.3 5.1.99.1 5.4.99.2 2.8.3.- 1.3.5.4 1.1.1.38 6.2.1.5 2.8.3.18 1.2.1.M10
1,3-propanediol biosynthesis (engineered)	2.7.1.11 1.1.1.- 4.2.1.30 3.1.3.21 1.1.1.8 4.1.2.13 5.3.1.9 2.7.1.1 2.7.1.2
hypotaurine degradation	2.6.1.77 1.2.1.3 3.13.1.-
octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	1.3.1.10 1.3.1.39 2.3.1.85 2.3.1.86 2.3.1.179 2.3.1.41 2.3.1.86 2.3.1.85 4.2.1.59 2.3.1.86 2.3.1.85 1.1.1.100 2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86 2.3.1.86 2.3.1.85 2.3.1.39 6.4.1.2
superpathway of anaerobic energy metabolism (invertebrates)	1.1.1.38 5.1.99.1 2.7.1.40 6.2.1.5 2.8.3.18 1.2.1.M10 2.6.1.2 1.1.1.37 6.4.1.3 4.2.1.2 4.1.1.32 5.4.99.2 2.8.3.- 1.3.5.4 2.6.1.1 5.1.1.1 4.1.1.32
isoprene biosynthesis II (engineered)	2.3.1.16 2.3.1.9 4.2.3.27 5.3.3.2 4.1.1.33 2.7.4.2 2.7.1.36 1.1.1.34 2.3.3.10
taxadiene biosynthesis (engineered)	2.5.1.1 2.5.1.29 4.2.3.17 2.5.1.10 5.3.3.2 2.2.1.7 1.1.1.267 4.6.1.12 1.17.7.4 1.17.7.4 2.7.1.148 2.7.7.60 1.17.7.3
&beta;-carotene biosynthesis (engineered)	5.5.1.19 5.5.1.19
urate conversion to allantoin II	4.1.1.97 3.5.2.17 1.14.13.113
D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	4.1.2.40 3.5.1.25 2.7.1.144 3.5.99.-
butanol and isobutanol biosynthesis (engineered)	1.1.1.85 1.1.1.1 4.1.1.72 1.1.1.- 4.1.1.1 1.4.3.19 2.3.3.7
naringenin biosynthesis (engineered)	2.3.1.74 5.5.1.6 4.3.1.23 4.3.1.25 6.2.1.12
coumarins biosynthesis (engineered)	1.14.11.- 1.14.11.ah 2.1.1.104 6.2.1.12 4.3.1.23 4.3.1.25 1.14.14.- 1.14.11.ai 6.2.1.12 1.14.14.- 4.3.1.23 4.3.1.25
methylphosphonate degradation II	4.7.1.1 3.1.4.57 3.1.4.57 2.7.8.37 3.6.1.63
L-arginine biosynthesis IV (archaebacteria)	6.3.4.5 4.3.2.1 2.1.3.3 2.6.1.11 3.5.1.ai 6.3.5.5 6.3.2.M4 2.7.2.8 1.2.1.38
crotonate fermentation (to acetate and cyclohexane carboxylate)	2.3.1.16 2.3.1.9 6.2.1.13 2.8.3.- 1.1.1.35 4.2.1.150 3.1.2.- 1.3.8.11 1.3.8.10 4.2.1.100 1.1.1.368 1.1.1.259 2.3.1.-
benzoate fermentation (to acetate and cyclohexane carboxylate)	2.3.1.16 2.3.1.9 6.2.1.13 1.1.1.35 4.2.1.150 1.3.8.11 3.1.2.- 1.3.8.10 1.3.7.8 2.3.1.- 1.1.1.259 1.1.1.368 4.2.1.100 6.2.1.25
tetramethylpyrazine degradation	1.14.12.- 3.5.1.- 1.1.1.- 3.5.1.-
ceramide phosphoethanolamine biosynthesis	2.7.8.-
aurachin RE biosynthesis	6.2.1.32 2.3.1.- 1.14.13.- 1.14.13.- 2.5.1.-
aurachin A, B, C and D biosynthesis	2.5.1.- 1.14.13.- 1.14.13.- 6.2.1.32 2.3.1.-
phospholipid remodeling (phosphatidylethanolamine, yeast)	2.3.1.23 3.1.1.4 3.1.4.46 3.1.4.2 3.1.1.5
ipsdienol biosynthesis	4.2.3.15 1.14.14.31 1.14.14.31 2.5.1.1
phosphatidate biosynthesis (yeast)	2.3.1.15 1.1.1.8 2.3.1.51 1.1.1.101 2.3.1.42
mycinamicin biosynthesis	1.14.13.- 2.3.1.- 2.4.1.- 1.14.13.- 2.4.1.- 2.1.1.238 2.1.1.237 1.14.13.- 1.14.13.-
dTDP-6-deoxy-&alpha;-D-allose biosynthesis	4.2.1.46 2.7.7.24 5.1.3.27 1.1.1.364
dTDP-&alpha;-D-mycaminose biosynthesis	4.2.1.46 2.1.1.235 2.6.1.89 5.3.2.4 2.7.7.24
tylosin biosynthesis	2.3.1.- 2.1.1.101 2.1.1.102 2.4.1.318 2.4.1.317 1.14.15.34 1.14.15.- 1.14.15.- 2.4.1.316
phospholipid remodeling (phosphatidylcholine, yeast)	2.3.1.158 3.1.1.4 2.3.1.23
phospholipid remodeling (phosphatidate, yeast)	2.3.1.51 3.1.1.4
FR-900098 and FR-33289 antibiotics biosynthesis	4.1.1.- 1.14.11.- 3.6.1.- 2.3.1.- 1.14.13.- 2.7.7.- 2.6.1.- 5.4.99.- 2.3.3.19 5.4.2.9
<I>p</I>-cymene degradation to <I>p</I>-cumate	1.14.15.25 1.2.1.29 1.1.1.M33
monoacylglycerol metabolism (yeast)	2.3.1.22 3.1.1.23 2.7.1.174 3.1.1.23
narbomycin, pikromycin and novapikromycin biosynthesis	2.3.1.240 1.14.15.33 1.14.15.33 1.14.15.33 1.14.15.33 2.4.1.277
methymycin, neomethymycin and novamethymycin biosynthesis	1.14.15.33 1.14.15.33 1.14.15.33 2.3.1.239 2.4.1.277 1.14.15.33
bombykol biosynthesis	1.14.19.15 1.2.1.- 1.14.19.5
sterol:steryl ester interconversion (yeast)	3.1.1.13 2.3.1.26 2.3.1.26 3.1.1.13
2-chloroacrylate degradation I	1.1.5.12 1.3.1.103 3.8.1.2
complex <i>N</i>-linked glycan biosynthesis (vertebrates)	2.4.1.145 2.4.99.1 2.4.99.6 2.4.1.38 2.4.1.155 2.4.1.144 2.4.1.68 2.4.1.101 3.2.1.114 2.4.1.143
2-chloroacrylate degradation II	4.2.1.-
arsenite oxidation II (respiratory)	1.20.9.1
indole degradation to anthranil and anthranilate	1.13.11.17 1.14.13.- 1.14.13.- 3.5.1.-
aromatic biogenic amine degradation (bacteria)	1.4.3.4 1.2.1.3 4.2.1.87 1.14.14.9 1.2.1.53 1.4.99.- 4.2.1.88 1.4.3.4
L-phenylalanine biosynthesis III (cytosolic, plants)	4.2.1.51 2.6.1.57
mucin core 1 and core 2 <i>O</i>-glycosylation	2.4.1.122 2.4.1.146 2.4.1.102 2.4.99.4 2.4.1.41
terminal <i>O</i>-glycans residues modification (via type 2 precursor disaccharide)	2.4.1.38 2.4.1.150 2.4.1.38 2.4.1.87 2.4.99.6 2.4.1.149 2.4.99.1 2.4.1.38
mucin core 3 and core 4 <i>O</i>-glycosylation	2.4.1.148 2.4.1.147 2.4.1.41
vitamin E biosynthesis (tocotrienols)	2.1.1.95 2.5.1.116 5.5.1.24 2.1.1.295 2.1.1.95 5.5.1.24
protein <i>O</i>-[<i>N</i>-acetyl]-glucosylation	3.2.1.169 2.4.1.255
superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis	1.1.1.- 5.1.3.- 2.1.1.- 1.17.1.- 1.1.1.- 5.3.1.- 2.1.1.- 2.6.1.- 1.1.1.- 2.1.1.- 1.1.1.- 1.1.1.- 1.1.1.- 5.1.3.- 2.6.1.110 4.2.1.164 1.1.1.384 2.7.7.24 4.2.1.46
dTDP-&beta;-L-evernitrose biosynthesis	2.1.1.-
thiocyanate degradation II	3.5.5.8 3.13.1.7
dTDP-&beta;-L-4-<i>epi</i>-vancosamine biosynthesis	4.2.1.46 1.1.1.- 5.1.3.- 2.1.1.- 2.6.1.- 2.7.7.24
polymyxin A biosynthesis	
drosopterin and aurodrosopterin biosynthesis	3.5.4.16 1.5.4.1 3.5.4.3 4.2.3.12
(4S)-carvone biosynthesis	1.14.14.53 1.1.1.275 4.2.3.20
luteolin triglucuronide biosynthesis	2.4.1.190 2.4.1.191 2.4.1.189
luteolin triglucuronide degradation	3.2.1.31 3.2.1.- 1.11.1.7 3.2.1.31
sulfoquinovose degradation I	3.2.1.199 1.1.1.373 4.1.2.57 2.7.1.184 5.3.1.31
2-aminoethylphosphonate degradation III	1.14.11.46 1.13.11.78
galloylated catechin biosynthesis	2.3.1.- 2.4.1.136 2.3.1.-
acylated cyanidin galactoside biosynthesis	2.4.1.294 2.3.1.213 2.3.1.213 2.3.1.213 2.4.1.- 2.4.2.50
anthocyanidin modification (<i>Arabidopsis</i>)	2.4.2.51 2.4.1.- 2.3.1.- 2.3.1.- 2.4.1.- 2.3.1.- 2.3.1.- 2.4.2.- 2.4.1.115
cyanidin dimalonylglucoside biosynthesis	2.3.1.171 2.3.1.-
allopregnanolone biosynthesis	1.1.1.213 1.3.1.22
&beta;-(1,4)-mannan degradation	3.2.1.78 5.3.1.8 5.4.2.8 2.4.1.319 2.4.1.281 5.1.3.11 3.2.1.100
sulfite oxidation V (SoeABC)	1.8.5.6
violdelphin biosynthesis	2.3.1.- 2.3.1.- 2.4.1.- 2.4.1.- 2.4.1.-
kojibiose degradation	2.4.1.230 5.4.2.6
2-<i>O</i>-acetyl-3-<i>O</i>-<i>trans</i>-coutarate biosynthesis	2.3.1.- 2.3.1.-
hydroxycinnamate sugar acid ester biosynthesis	2.3.1.132 2.3.1.- 2.3.1.131
3,3'-disulfanediyldipropannoate degradation	6.2.1.- 3.13.1.4 1.13.11.- 1.8.1.-
<i>N</i>-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose biosynthesis	2.4.1.- 2.1.1.111
cyanidin 3,7-diglucoside polyacylation biosynthesis	2.4.1.- 2.3.1.- 2.3.1.-
3,3'-thiodipropanoate degradation	3.13.1.4 3.13.1.- 2.3.1.- 1.13.11.-
acetone degradation III (to propane-1,2-diol)	4.1.1.4 1.14.14.1 1.1.1.80
2-acetamido-4-amino-2,4,6-trideoxy-&alpha;-D-galactosyl-diphospho-<i>ditrans,octacis</i>-undecaprenol biosynthesis	2.6.1.92 2.7.8.- 4.2.1.135
benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis	2.4.1.-
gentisate degradation II	1.13.11.4 3.7.1.23
phosphatidylcholine biosynthesis VII	2.3.1.23 2.3.1.-
D-carnitine degradation I	1.1.1.254
D-carnitine degradation II	5.1.2.M1 1.1.1.108
avenacin A-1 biosynthesis	2.4.1.- 2.3.1.- 5.4.99.39 1.14.14.- 1.14.14.- 1.14.14.63 1.14.14.-
avenacin A-2 biosynthesis	2.3.1.-
des-methyl avenacin A-1 biosynthesis	2.4.1.- 2.3.1.-
superpathway of avenacin A biosynthesis	2.3.1.- 2.4.1.- 2.4.1.- 2.3.1.- 2.1.1.111 1.14.14.- 1.14.14.- 1.14.14.63 1.14.14.- 2.4.1.- 5.4.99.39 2.3.1.-
momilactone A biosynthesis	1.14.14.- 1.1.1.295
oryzalexin D and E biosynthesis	1.14.14.- 1.14.14.70 1.14.14.123 1.14.14.122 1.14.14.-
2,3-dihydroxybenzoate degradation	1.2.1.85 4.1.1.77 5.3.2.6 1.13.11.14 4.1.1.-
oryzalide A biosynthesis	1.14.13.- 4.2.3.103
cyclooctatin biosynthesis	1.14.99.62 1.14.99.61 4.2.3.146
elloramycin biosynthesis	1.14.13.200 2.1.1.- 2.1.1.307 2.1.1.306 2.1.1.305 2.4.1.331 2.1.1.- 2.1.1.- 4.2.1.- 1.13.12.21 4.2.1.154 4.2.1.- 2.3.1.-
phytocassanes biosynthesis, shared reactions	1.14.14.112 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.-
tetracenomycin C biosynthesis	2.3.1.- 1.14.13.200 2.1.1.- 2.1.1.- 2.1.1.- 1.13.12.21 4.2.1.154 4.2.1.- 4.2.1.-
(+)-secoisolariciresinol diglucoside biosynthesis	2.4.1.- 2.4.1.-
oryzalexin A, B, and C biosynthesis	1.1.1.- 1.1.1.- 1.1.1.- 1.1.1.-
patulin biosynthesis	1.1.1.- 2.3.1.165 1.14.14.- 1.2.1.- 1.1.1.- 1.14.14.- 1.2.1.7 1.1.1.97 1.14.14.- 4.1.1.52
podophyllotoxin glucosides metabolism	3.2.1.- 2.4.1.- 3.2.1.- 2.4.1.- 2.4.1.-
paspaline biosynthesis	2.5.1.29 1.14.13.- 1.14.13.-
paxilline and diprenylpaxilline biosynthesis	1.14.14.- 2.5.1.- 1.14.14.- 1.14.14.-
choline degradation IV	1.2.1.8
gossypetin metabolism	2.1.1.88 1.14.99.- 2.4.1.237
linuron degradation	3.5.1.- 1.14.12.-
3&beta;-hydroxysesquiterpene lactone biosynthesis	1.14.14.- 1.14.14.- 1.14.14.-
phenylpropanoids methylation (ice plant)	2.1.1.88 2.1.1.- 2.1.1.- 2.1.1.267 2.1.1.267 2.1.1.42 2.1.1.68 2.1.1.- 2.1.1.- 2.1.1.104
phosphatidylserine biosynthesis I	2.7.8.-
phosphatidylserine biosynthesis II	2.7.8.29
chelerythrine biosynthesis	1.14.19.68 1.3.1.107 1.5.3.12 1.14.14.- 1.14.14.97 2.1.1.122 2.1.1.117 1.21.3.3
cardiolipin and phosphatidylethanolamine biosynthesis (<i>Xanthomonas</i>)	2.7.8.8 4.1.1.65 2.7.8.41
rhizocticin A and B biosynthesis	6.3.2.- 4.2.1.- 5.4.2.9 4.1.1.82 4.1.3.- 4.2.1.- 2.6.1.- 6.3.2.- 6.3.2.- 2.6.1.- 4.2.1.- 6.3.2.-
